Order ID,Order Value,Delivery Fee,Cuisine,Meal Type,City,Time Taken for Delivery,Age Group,Restaurant Segment,Company Type,Customer Rating,Total Revenue
ORD100111,319.28,0,Continental,Dinner,Chennai,23,36-50,Fast-Food,Individual,4,319.28
ORD100112,1126.18,30,Chinese,Dinner,Bangalore,28,50+,Fast-Food,Corporate,4,1156.18
ORD100113,998.53,20,Mexican,Lunch,Mumbai,33,26-35,Fast-Food,Corporate,3,1018.53
ORD100114,815.07,20,Mexican,Dinner,Mumbai,51,36-50,Fast-Food,Corporate,1,835.07
ORD100115,1065.03,20,Italian,Lunch,Bangalore,63,50+,Fast-Food,Corporate,1,1085.03
ORD100116,993.86,30,Indian,Lunch,Chennai,26,18-25,Fast-Food,Corporate,4,1023.86
ORD100117,345.9,45,Indian,Breakfast,Delhi,56,26-35,Premium,Individual,1,390.9
ORD100118,1087.19,0,Chinese,Dinner,Delhi,16,50+,Premium,Corporate,5,1087.19
ORD100119,716.31,20,Continental,Dinner,Chennai,39,18-25,Fast-Food,Corporate,3,736.31
ORD100120,997.81,30,Indian,Breakfast,Mumbai,16,50+,Casual,Corporate,5,1027.81
ORD100121,1090.9,0,Fast Food,Lunch,Mumbai,51,18-25,Casual,Corporate,1,1090.9
ORD100122,483.9,30,Indian,Lunch,Delhi,27,26-35,Fast-Food,Individual,4,513.9
ORD100123,265.55,20,Mexican,Lunch,Mumbai,42,36-50,Premium,Individual,2,285.55
ORD100124,389.33,20,Chinese,Evening Snack,Bangalore,31,18-25,Premium,Individual,3,409.33
ORD100125,598.46,20,Continental,Lunch,Mumbai,28,50+,Casual,Individual,4,618.46
ORD100126,1008.92,20,Italian,Dinner,Mumbai,47,26-35,Fast-Food,Corporate,2,1028.92
ORD100127,1053.77,45,Continental,Dinner,Chennai,53,18-25,Premium,Corporate,1,1098.77
ORD100128,157.3,60,Chinese,Lunch,Chennai,26,50+,Fast-Food,Individual,4,217.3
ORD100129,686.28,30,Continental,Evening Snack,Chennai,29,50+,Fast-Food,Corporate,4,716.28
ORD100130,588.28,30,Fast Food,Lunch,Mumbai,28,50+,Casual,Individual,4,618.28
ORD100131,383.21,0,Indian,Dinner,Hyderabad,50,18-25,Fast-Food,Individual,2,383.21
ORD100132,275.86,30,Fast Food,Evening Snack,Hyderabad,56,18-25,Fast-Food,Individual,1,305.86
ORD100133,504.5,30,Continental,Dinner,Chennai,33,18-25,Casual,Individual,3,534.5
ORD100134,1140.06,0,Chinese,Breakfast,Bangalore,38,36-50,Premium,Corporate,3,1140.06
ORD100135,489.36,0,Continental,Lunch,Hyderabad,15,18-25,Fast-Food,Individual,5,489.36
ORD100136,694.73,20,Chinese,Evening Snack,Delhi,56,18-25,Casual,Corporate,1,714.73
ORD100137,888.17,0,Indian,Evening Snack,Bangalore,37,18-25,Premium,Corporate,3,888.17
ORD100138,531.81,30,Mexican,Dinner,Chennai,63,36-50,Fast-Food,Individual,1,561.81
ORD100139,1170.37,60,Continental,Evening Snack,Chennai,18,18-25,Premium,Corporate,5,1230.37
ORD100140,1160.57,30,Fast Food,Breakfast,Bangalore,16,50+,Casual,Corporate,5,1190.57
ORD100141,414.37,20,Indian,Dinner,Mumbai,44,18-25,Fast-Food,Individual,2,434.37
ORD100142,672.11,20,Mexican,Dinner,Hyderabad,57,50+,Casual,Individual,1,692.11
ORD100143,465.92,20,Indian,Breakfast,Mumbai,18,50+,Casual,Individual,5,485.92
ORD100144,449.08,30,Mexican,Dinner,Mumbai,58,50+,Fast-Food,Individual,1,479.08
ORD100145,188.73,20,Mexican,Evening Snack,Delhi,23,36-50,Casual,Individual,4,208.73
ORD100146,790.04,20,Italian,Lunch,Mumbai,49,36-50,Premium,Corporate,2,810.04
ORD100147,677.81,30,Mexican,Lunch,Chennai,25,36-50,Casual,Corporate,4,707.81
ORD100148,204.05,20,Fast Food,Dinner,Delhi,61,18-25,Fast-Food,Individual,1,224.05
ORD100149,442.58,0,Mexican,Breakfast,Chennai,18,50+,Fast-Food,Individual,5,442.58
ORD100150,1103.68,0,Fast Food,Dinner,Mumbai,16,36-50,Premium,Corporate,5,1103.68
ORD100151,401.54,20,Indian,Evening Snack,Mumbai,60,36-50,Fast-Food,Individual,1,421.54
ORD100152,302.14,30,Chinese,Dinner,Delhi,60,18-25,Casual,Individual,1,332.14
ORD100153,663.93,20,Mexican,Lunch,Mumbai,37,36-50,Casual,Individual,3,683.93
ORD100154,1184.93,0,Mexican,Breakfast,Bangalore,17,18-25,Fast-Food,Corporate,5,1184.93
ORD100155,404.16,20,Chinese,Lunch,Chennai,53,26-35,Premium,Individual,1,424.16
ORD100156,855.74,0,Mexican,Evening Snack,Mumbai,41,36-50,Premium,Corporate,2,855.74
ORD100157,949.7,60,Continental,Lunch,Mumbai,56,26-35,Fast-Food,Corporate,1,1009.7
ORD100158,399.52,20,Continental,Lunch,Mumbai,55,18-25,Casual,Individual,1,419.52
ORD100159,914.63,0,Indian,Dinner,Hyderabad,40,50+,Fast-Food,Corporate,3,914.63
ORD100160,536.17,30,Fast Food,Lunch,Bangalore,16,36-50,Fast-Food,Individual,5,566.17
ORD100161,813.92,20,Italian,Dinner,Chennai,26,18-25,Premium,Corporate,4,833.92
ORD100162,815.21,30,Continental,Dinner,Hyderabad,31,50+,Casual,Corporate,3,845.21
ORD100163,712.56,0,Continental,Dinner,Chennai,46,50+,Premium,Corporate,2,712.56
ORD100164,244.8,60,Mexican,Evening Snack,Delhi,53,26-35,Premium,Individual,1,304.8
ORD100165,1027.07,60,Mexican,Lunch,Hyderabad,53,18-25,Casual,Corporate,1,1087.07
ORD100166,486.82,30,Continental,Lunch,Bangalore,58,50+,Casual,Individual,1,516.8199999999999
ORD100167,345.84,30,Continental,Breakfast,Mumbai,50,36-50,Casual,Individual,2,375.84
ORD100168,192.81,20,Fast Food,Dinner,Delhi,27,36-50,Fast-Food,Individual,4,212.81
ORD100169,770.44,60,Mexican,Lunch,Delhi,48,26-35,Casual,Corporate,2,830.44
ORD100170,861.44,20,Chinese,Breakfast,Chennai,25,50+,Fast-Food,Corporate,4,881.44
ORD100171,167.42,20,Continental,Dinner,Hyderabad,26,18-25,Premium,Individual,4,187.42
ORD100172,687.7,0,Italian,Dinner,Bangalore,52,36-50,Casual,Corporate,1,687.7
ORD100173,387.82,20,Chinese,Dinner,Bangalore,27,50+,Fast-Food,Individual,4,407.82
ORD100174,827.43,30,Italian,Breakfast,Mumbai,16,50+,Fast-Food,Corporate,5,857.43
ORD100175,333.08,20,Italian,Lunch,Bangalore,26,26-35,Fast-Food,Individual,4,353.08
ORD100176,875.48,30,Indian,Breakfast,Mumbai,60,36-50,Fast-Food,Corporate,1,905.48
ORD100177,556.07,20,Mexican,Breakfast,Delhi,34,36-50,Premium,Individual,3,576.07
ORD100178,1133.57,45,Italian,Dinner,Bangalore,59,18-25,Casual,Corporate,1,1178.57
ORD100179,294.4,30,Continental,Lunch,Mumbai,60,36-50,Casual,Individual,1,324.4
ORD100180,508.12,30,Continental,Lunch,Chennai,19,18-25,Casual,Individual,5,538.12
ORD100181,269.15,30,Chinese,Dinner,Hyderabad,27,36-50,Casual,Individual,4,299.15
ORD100182,1120.93,45,Continental,Dinner,Bangalore,55,26-35,Casual,Corporate,1,1165.93
ORD100183,1071.21,0,Continental,Dinner,Bangalore,58,36-50,Casual,Corporate,1,1071.21
ORD100184,420.84,0,Fast Food,Dinner,Bangalore,19,18-25,Fast-Food,Individual,5,420.84
ORD100185,842.98,30,Indian,Evening Snack,Mumbai,16,18-25,Casual,Corporate,5,872.98
ORD100186,1008.08,30,Italian,Breakfast,Delhi,47,26-35,Fast-Food,Corporate,2,1038.08
ORD100187,732.96,20,Mexican,Lunch,Hyderabad,40,36-50,Premium,Corporate,3,752.96
ORD100188,706.13,20,Chinese,Dinner,Bangalore,28,36-50,Fast-Food,Corporate,4,726.13
ORD100189,403.94,20,Indian,Lunch,Delhi,64,26-35,Premium,Individual,1,423.94
ORD100190,247.76,20,Italian,Dinner,Delhi,63,36-50,Casual,Individual,1,267.76
ORD100191,1092.08,60,Italian,Dinner,Chennai,60,36-50,Premium,Corporate,1,1152.08
ORD100192,1095.44,20,Continental,Dinner,Bangalore,54,18-25,Premium,Corporate,1,1115.44
ORD100193,814.76,30,Continental,Dinner,Chennai,26,36-50,Fast-Food,Corporate,4,844.76
ORD100194,505.98,30,Chinese,Evening Snack,Chennai,40,36-50,Fast-Food,Individual,3,535.98
ORD100195,516.67,0,Mexican,Breakfast,Chennai,52,26-35,Premium,Individual,1,516.67
ORD100196,912.25,0,Continental,Dinner,Delhi,15,26-35,Premium,Corporate,5,912.25
ORD100197,1091.97,20,Mexican,Breakfast,Mumbai,44,50+,Casual,Corporate,2,1111.97
ORD100198,1081.44,30,Continental,Dinner,Bangalore,58,18-25,Fast-Food,Corporate,1,1111.44
ORD100199,968.87,20,Mexican,Dinner,Hyderabad,20,36-50,Premium,Corporate,4,988.87
ORD100200,824.13,0,Continental,Lunch,Delhi,41,36-50,Fast-Food,Corporate,2,824.13
ORD100201,238.35,20,Fast Food,Lunch,Hyderabad,30,50+,Casual,Individual,4,258.35
ORD100202,319.71,0,Continental,Dinner,Bangalore,63,36-50,Casual,Individual,1,319.71
ORD100203,1093.48,20,Fast Food,Lunch,Chennai,24,18-25,Premium,Corporate,4,1113.48
ORD100204,786.75,20,Continental,Breakfast,Hyderabad,59,50+,Casual,Corporate,1,806.75
ORD100205,159.66,0,Continental,Breakfast,Bangalore,56,18-25,Premium,Individual,1,159.66
ORD100206,256.55,30,Mexican,Breakfast,Chennai,55,50+,Fast-Food,Individual,1,286.55
ORD100207,846.68,20,Indian,Evening Snack,Hyderabad,54,50+,Fast-Food,Corporate,1,866.68
ORD100208,155.31,30,Chinese,Evening Snack,Chennai,46,26-35,Premium,Individual,2,185.31
ORD100209,318.85,30,Indian,Evening Snack,Delhi,63,18-25,Premium,Individual,1,348.85
ORD100210,726.17,45,Mexican,Lunch,Delhi,49,36-50,Premium,Corporate,2,771.17
ORD100211,876.49,0,Chinese,Evening Snack,Chennai,50,36-50,Fast-Food,Corporate,2,876.49
ORD100212,834.56,20,Continental,Evening Snack,Hyderabad,38,18-25,Fast-Food,Corporate,3,854.56
ORD100213,385.48,45,Indian,Dinner,Hyderabad,25,36-50,Casual,Individual,4,430.48
ORD100214,897.79,45,Chinese,Lunch,Delhi,50,36-50,Casual,Corporate,2,942.79
ORD100215,399.11,0,Indian,Evening Snack,Hyderabad,28,18-25,Fast-Food,Individual,4,399.11
ORD100216,491.67,0,Mexican,Dinner,Mumbai,34,50+,Fast-Food,Individual,3,491.67
ORD100217,933.82,45,Chinese,Lunch,Hyderabad,62,18-25,Premium,Corporate,1,978.82
ORD100218,832.11,0,Continental,Lunch,Hyderabad,23,50+,Fast-Food,Corporate,4,832.11
ORD100219,1041.68,45,Italian,Dinner,Hyderabad,48,36-50,Fast-Food,Corporate,2,1086.68
ORD100220,840.49,60,Continental,Lunch,Hyderabad,17,36-50,Casual,Corporate,5,900.49
ORD100221,746.72,20,Italian,Dinner,Hyderabad,37,36-50,Casual,Corporate,3,766.72
ORD100222,248.36,45,Continental,Dinner,Bangalore,43,26-35,Premium,Individual,2,293.36
ORD100223,536.1,20,Mexican,Lunch,Hyderabad,54,50+,Casual,Individual,1,556.1
ORD100224,428.46,30,Chinese,Dinner,Mumbai,21,26-35,Premium,Individual,4,458.46
ORD100225,406.19,20,Indian,Lunch,Bangalore,31,26-35,Fast-Food,Individual,3,426.19
ORD100226,1171.66,0,Fast Food,Lunch,Bangalore,17,18-25,Fast-Food,Corporate,5,1171.66
ORD100227,562.75,30,Continental,Dinner,Delhi,56,26-35,Premium,Individual,1,592.75
ORD100228,1086.65,0,Italian,Lunch,Mumbai,36,18-25,Casual,Corporate,3,1086.65
ORD100229,812.7,60,Chinese,Lunch,Delhi,35,18-25,Casual,Corporate,3,872.7
ORD100230,984.55,20,Fast Food,Lunch,Delhi,34,26-35,Fast-Food,Corporate,3,1004.55
ORD100231,677.77,0,Indian,Evening Snack,Mumbai,28,50+,Casual,Corporate,4,677.77
ORD100232,755.75,20,Italian,Evening Snack,Mumbai,59,50+,Premium,Corporate,1,775.75
ORD100233,667.14,45,Italian,Dinner,Hyderabad,36,50+,Fast-Food,Individual,3,712.14
ORD100234,355.01,20,Fast Food,Breakfast,Hyderabad,52,50+,Casual,Individual,1,375.01
ORD100235,908.57,45,Chinese,Dinner,Delhi,44,50+,Fast-Food,Corporate,2,953.57
ORD100236,444.81,0,Mexican,Dinner,Mumbai,28,26-35,Fast-Food,Individual,4,444.81
ORD100237,175.53,20,Mexican,Evening Snack,Bangalore,53,26-35,Casual,Individual,1,195.53
ORD100238,827.75,45,Mexican,Lunch,Mumbai,40,36-50,Premium,Corporate,3,872.75
ORD100239,335.97,0,Fast Food,Lunch,Delhi,43,50+,Casual,Individual,2,335.97
ORD100240,1137.48,20,Chinese,Dinner,Delhi,41,26-35,Casual,Corporate,2,1157.48
ORD100241,1151.63,60,Italian,Dinner,Mumbai,30,36-50,Casual,Corporate,4,1211.63
ORD100242,1110.61,30,Chinese,Dinner,Delhi,40,50+,Casual,Corporate,3,1140.61
ORD100243,538.67,30,Mexican,Dinner,Mumbai,35,18-25,Casual,Individual,3,568.67
ORD100244,166.23,45,Continental,Dinner,Hyderabad,64,36-50,Casual,Individual,1,211.23
ORD100245,1124.73,30,Chinese,Dinner,Hyderabad,62,26-35,Premium,Corporate,1,1154.73
ORD100246,599.59,45,Continental,Dinner,Chennai,59,18-25,Fast-Food,Individual,1,644.59
ORD100247,1164.99,30,Mexican,Lunch,Chennai,34,18-25,Premium,Corporate,3,1194.99
ORD100248,1161.8,30,Chinese,Lunch,Mumbai,29,18-25,Casual,Corporate,4,1191.8
ORD100249,1045.66,0,Chinese,Breakfast,Delhi,50,36-50,Premium,Corporate,2,1045.66
ORD100250,459.17,60,Continental,Lunch,Mumbai,17,26-35,Fast-Food,Individual,5,519.1700000000001
ORD100251,554.35,30,Indian,Lunch,Chennai,53,18-25,Premium,Individual,1,584.35
ORD100252,1043.69,20,Continental,Lunch,Chennai,37,50+,Casual,Corporate,3,1063.69
ORD100253,482.77,30,Mexican,Dinner,Bangalore,63,18-25,Fast-Food,Individual,1,512.77
ORD100254,327.97,20,Continental,Lunch,Delhi,29,18-25,Casual,Individual,4,347.97
ORD100255,734.64,30,Fast Food,Evening Snack,Bangalore,41,36-50,Casual,Corporate,2,764.64
ORD100256,1132.96,60,Indian,Dinner,Chennai,58,36-50,Fast-Food,Corporate,1,1192.96
ORD100257,880.83,0,Mexican,Lunch,Bangalore,61,26-35,Fast-Food,Corporate,1,880.83
ORD100258,748.56,60,Fast Food,Evening Snack,Hyderabad,62,50+,Casual,Corporate,1,808.56
ORD100259,252.04,0,Chinese,Breakfast,Hyderabad,62,36-50,Premium,Individual,1,252.04
ORD100260,795.76,20,Chinese,Dinner,Delhi,35,18-25,Fast-Food,Corporate,3,815.76
ORD100261,1189.56,20,Indian,Lunch,Hyderabad,34,26-35,Premium,Corporate,3,1209.56
ORD100262,297.09,20,Fast Food,Dinner,Chennai,33,18-25,Premium,Individual,3,317.09
ORD100263,694.25,30,Mexican,Evening Snack,Hyderabad,44,18-25,Fast-Food,Corporate,2,724.25
ORD100264,1071.24,45,Mexican,Breakfast,Chennai,48,36-50,Premium,Corporate,2,1116.24
ORD100265,927.81,20,Chinese,Lunch,Chennai,55,26-35,Fast-Food,Corporate,1,947.81
ORD100266,881.87,0,Continental,Lunch,Mumbai,40,50+,Fast-Food,Corporate,3,881.87
ORD100267,887.61,30,Continental,Lunch,Delhi,17,50+,Fast-Food,Corporate,5,917.61
ORD100268,527.47,30,Mexican,Evening Snack,Hyderabad,30,36-50,Fast-Food,Individual,4,557.47
ORD100269,458.27,60,Indian,Dinner,Bangalore,56,36-50,Premium,Individual,1,518.27
ORD100270,999.83,0,Indian,Evening Snack,Chennai,22,26-35,Premium,Corporate,4,999.83
ORD100271,1000.62,60,Fast Food,Dinner,Delhi,60,50+,Fast-Food,Corporate,1,1060.62
ORD100272,1060.43,20,Chinese,Lunch,Hyderabad,26,50+,Fast-Food,Corporate,4,1080.43
ORD100273,1108.9,20,Italian,Evening Snack,Mumbai,26,50+,Fast-Food,Corporate,4,1128.9
ORD100274,686.91,60,Fast Food,Breakfast,Chennai,31,18-25,Fast-Food,Corporate,3,746.91
ORD100275,676.59,20,Indian,Dinner,Chennai,27,50+,Casual,Corporate,4,696.59
ORD100276,988.21,30,Fast Food,Dinner,Bangalore,38,18-25,Premium,Corporate,3,1018.21
ORD100277,832.46,30,Italian,Lunch,Delhi,24,26-35,Premium,Corporate,4,862.46
